,politicalParty,results.ballotItems.name,percent_of_contest,label,precinctsParticipating,precinctsReporting
152,Dem,State House of Representatives - District 28,21.71344165435746,"<b>Michael D. Henson (Dem)</b><br>7,350 votes",10,10
153,Rep,State House of Representatives - District 29,100.0,"<b>Matt Dubnik (I) (Rep)</b><br>16,007 votes",8,8
154,Rep,State House of Representatives - District 30,73.00160046558999,"<b>Derrick McCollum (I) (Rep)</b><br>25,087 votes",8,8
155,Dem,State House of Representatives - District 30,26.998399534410012,"<b>Kim Floria (Dem)</b><br>9,278 votes",8,8
156,Rep,State House of Representatives - District 31,100.0,"<b>Emory West Dunahoo, Jr. (I) (Rep)</b><br>30,344 votes",4,4
157,Rep,State House of Representatives - District 32,100.0,"<b>Chris Erwin (I) (Rep)</b><br>27,370 votes",17,17
158,Rep,State House of Representatives - District 33,100.0,"<b>Alan Powell (I) (Rep)</b><br>29,061 votes",20,20
159,Rep,State House of Representatives - District 34,57.64603451005223,"<b>Devan Seabaugh (I) (Rep)</b><br>21,849 votes",17,17
160,Dem,State House of Representatives - District 34,42.35396548994776,"<b>Karl Gallegos (Dem)</b><br>16,053 votes",17,17
161,Rep,State House of Representatives - District 35,39.21209858103062,"<b>Gary Cecil Chaffee (Rep)</b><br>10,501 votes",12,12
162,Dem,State House of Representatives - District 35,60.78790141896938,"<b>Lisa Gayle Campbell (I) (Dem)</b><br>16,279 votes",12,12
163,Rep,State House of Representatives - District 36,100.0,"<b>Ginny Ehrhart (I) (Rep)</b><br>29,260 votes",14,14
164,Rep,State House of Representatives - District 37,44.29040909606014,"<b>Shea Taylor (Rep)</b><br>11,725 votes",16,16
165,Dem,State House of Representatives - District 37,55.70959090393986,"<b>Mary Frances Williams (I) (Dem)</b><br>14,748 votes",16,16
166,Dem,State House of Representatives - District 38,100.0,"<b>David Wilkerson (I) (Dem)</b><br>25,094 votes",13,13
167,Dem,State House of Representatives - District 39,100.0,"<b>Terry Cummings (I) (Dem)</b><br>22,774 votes",14,14
168,Rep,State House of Representatives - District 40,59.349542352090076,"<b>Kimberly R. New (I) (Rep)</b><br>18,869 votes",9,9
169,Dem,State House of Representatives - District 40,40.65045764790992,"<b>Montenia Edwards (Dem)</b><br>12,924 votes",9,9
170,Rep,State House of Representatives - District 41,29.978920355604437,"<b>Andrea Smith (Rep)</b><br>6,542 votes",12,12
171,Dem,State House of Representatives - District 41,70.02107964439557,"<b>Michael Smith (I) (Dem)</b><br>15,280 votes",12,12
172,Rep,State House of Representatives - District 42,36.69296714968515,"<b>Diane E. Jackson (Rep)</b><br>9,673 votes",16,16
173,Dem,State House of Representatives - District 42,63.30703285031485,"<b>Gabriel Sanchez (Dem)</b><br>16,689 votes",16,16
174,Dem,State House of Representatives - District 43,100.0,"<b>Solomon Adesanya (I) (Dem)</b><br>18,742 votes",13,13
175,Rep,State House of Representatives - District 44,56.87394560037884,"<b>Don L. Parsons (I) (Rep)</b><br>19,216 votes",13,13
176,Dem,State House of Representatives - District 44,43.126054399621154,"<b>Danielle Bell (Dem)</b><br>14,571 votes",13,13
177,Rep,State House of Representatives - District 45,57.462112163919635,"<b>Sharon Cooper (I) (Rep)</b><br>21,650 votes",14,14
178,Dem,State House of Representatives - District 45,42.537887836080365,"<b>Eric Castater (Dem)</b><br>16,027 votes",14,14
179,Rep,State House of Representatives - District 46,58.88449218013944,"<b>John Carson (I) (Rep)</b><br>21,875 votes",14,14
180,Dem,State House of Representatives - District 46,41.11550781986056,"<b>Micheal Garza (Dem)</b><br>15,274 votes",14,14
181,Rep,State House of Representatives - District 47,61.58040723696653,"<b>Jan Jones (I) (Rep)</b><br>19,537 votes",20,20
182,Dem,State House of Representatives - District 47,38.41959276303347,"<b>Debra Shigley (Dem)</b><br>12,189 votes",20,20
183,Rep,State House of Representatives - District 48,54.87219724175393,"<b>Scott Hilton (I) (Rep)</b><br>18,183 votes",22,22
184,Dem,State House of Representatives - District 48,45.12780275824607,"<b>Laura Murvartian (Dem)</b><br>14,954 votes",22,22
185,Rep,State House of Representatives - District 49,59.49947127247091,"<b>Chuck Martin (I) (Rep)</b><br>21,944 votes",20,20
186,Dem,State House of Representatives - District 49,40.50052872752908,"<b>Grace Demit (Dem)</b><br>14,937 votes",20,20
187,Rep,State House of Representatives - District 50,44.651016777704136,"<b>Narender Reddy (Rep)</b><br>12,801 votes",16,16
188,Dem,State House of Representatives - District 50,55.34898322229586,"<b>Michelle Au (I) (Dem)</b><br>15,868 votes",16,16
189,Rep,State House of Representatives - District 51,41.93638882070344,"<b>Derek Keith Gettmann (Rep)</b><br>11,959 votes",19,19
190,Dem,State House of Representatives - District 51,58.06361117929656,"<b>Esther Panitch (I) (Dem)</b><br>16,558 votes",19,19
191,Rep,State House of Representatives - District 52,38.35027100271003,"<b>Robert Brandon McNeily (Rep)</b><br>11,321 votes",26,26
192,Dem,State House of Representatives - District 52,61.64972899728998,"<b>Shea Roberts (I) (Dem)</b><br>18,199 votes",26,26
193,Rep,State House of Representatives - District 53,51.91887055080533,"<b>Deborah Silcox (I) (Rep)</b><br>18,277 votes",23,23
194,Dem,State House of Representatives - District 53,48.08112944919467,"<b>Susie Greenberg (Dem)</b><br>16,926 votes",23,23
195,Rep,State House of Representatives - District 54,40.331748828241864,"<b>Samantha ""Sam"" Brown Parks (Rep)</b><br>12,133 votes",19,19
196,Dem,State House of Representatives - District 54,59.668251171758136,"<b>Betsy Holland (I) (Dem)</b><br>17,950 votes",19,19
197,Rep,State House of Representatives - District 55,22.135463954966404,"<b>Samuel S. Lenaeus (Rep)</b><br>6,095 votes",30,30
198,Dem,State House of Representatives - District 55,77.86453604503359,"<b>Inga S. Willis (I) (Dem)</b><br>21,440 votes",30,30
199,Rep,State House of Representatives - District 56,16.221398997602964,"<b>Mesha K. Mainor (I) (Rep)</b><br>3,722 votes",28,28
200,Dem,State House of Representatives - District 56,83.77860100239704,"<b>Bryce Berry (Dem)</b><br>19,223 votes",28,28
201,Rep,State House of Representatives - District 57,21.131733533308335,"<b>Julie Allen (Rep)</b><br>6,763 votes",20,20
202,Dem,State House of Representatives - District 57,78.86826646669167,"<b>Stacey Evans (I) (Dem)</b><br>25,241 votes",20,20
203,Dem,State House of Representatives - District 58,100.0,"<b>Park Elizabeth Cannon (I) (Dem)</b><br>25,422 votes",26,26
204,Rep,State House of Representatives - District 59,9.18918918918919,"<b>Maurice Mpayamaguru (Rep)</b><br>2,312 votes",25,25
205,Dem,State House of Representatives - District 59,90.81081081081082,"<b>Phil Olaleye (I) (Dem)</b><br>22,848 votes",25,25
206,Rep,State House of Representatives - District 60,28.421052631578945,"<b>Cathy G. Henson (Rep)</b><br>8,613 votes",21,21
207,Dem,State House of Representatives - District 60,71.57894736842105,"<b>Sheila Jones (I) (Dem)</b><br>21,692 votes",21,21
208,Dem,State House of Representatives - District 61,100.0,"<b>Mekyah McQueen (Dem)</b><br>28,977 votes",25,25
209,Dem,State House of Representatives - District 62,100.0,"<b>Tanya F. Miller (I) (Dem)</b><br>24,767 votes",35,35
210,Dem,State House of Representatives - District 63,100.0,"<b>Kim Joy Schofield (I) (Dem)</b><br>22,266 votes",30,30
211,Rep,State House of Representatives - District 64,30.77046755418355,"<b>Cassaundra Burks (Rep)</b><br>9,569 votes",10,10
212,Dem,State House of Representatives - District 64,69.22953244581646,"<b>Sylvia Wayfer Baker (Dem)</b><br>21,529 votes",10,10
213,Dem,State House of Representatives - District 65,100.0,"<b>Robert Dawson (Dem)</b><br>29,876 votes",40,40
214,Dem,State House of Representatives - District 66,100.0,"<b>Kimberly Alexander (I) (Dem)</b><br>21,161 votes",12,12
215,Rep,State House of Representatives - District 67,33.50609756097561,"<b>Matthew Hammett (Rep)</b><br>9,891 votes",16,16
216,Dem,State House of Representatives - District 67,66.49390243902438,"<b>Lydia Glaize (I) (Dem)</b><br>19,629 votes",16,16
217,Dem,State House of Representatives - District 68,100.0,"<b>Derrick L. Jackson (I) (Dem)</b><br>24,208 votes",27,27
218,Dem,State House of Representatives - District 69,100.0,"<b>Debra Bazemore (I) (Dem)</b><br>27,191 votes",22,22
219,Rep,State House of Representatives - District 70,63.382919713287464,"<b>Lynn Smith (I) (Rep)</b><br>17,597 votes",13,13
220,Dem,State House of Representatives - District 70,36.617080286712536,"<b>Diane Boulai (Dem)</b><br>10,166 votes",13,13
221,Rep,State House of Representatives - District 71,66.94831990567891,"<b>Justin 'Jutt' Howard (Rep)</b><br>20,442 votes",12,12
222,Dem,State House of Representatives - District 71,33.051680094321085,"<b>Kwasi Hudson (Dem)</b><br>10,092 votes",12,12
223,Rep,State House of Representatives - District 72,75.49130897481376,"<b>David Huddleston (I) (Rep)</b><br>21,281 votes",17,17
224,Dem,State House of Representatives - District 72,24.508691025186234,"<b>Rodney Ross Moore (Dem)</b><br>6,909 votes",17,17
225,Rep,State House of Representatives - District 73,66.87884518070685,"<b>Josh Bonner (I) (Rep)</b><br>25,111 votes",15,15
226,Dem,State House of Representatives - District 73,33.12115481929315,"<b>Tom Thomason (Dem)</b><br>12,436 votes",15,15
227,Dem,State House of Representatives - District 74,100.0,"<b>Robert Flournoy, Jr. (Dem)</b><br>25,139 votes",14,14
228,Dem,State House of Representatives - District 75,100.0,"<b>Eric W. Bell, II (I) (Dem)</b><br>20,971 votes",14,14
229,Dem,State House of Representatives - District 76,100.0,"<b>Sandra Givens Scott (I) (Dem)</b><br>20,380 votes",14,14
230,Dem,State House of Representatives - District 77,100.0,"<b>Rhonda Burnough (I) (Dem)</b><br>18,552 votes",15,15
231,Dem,State House of Representatives - District 78,100.0,"<b>Demetrius Douglas (I) (Dem)</b><br>24,908 votes",14,14
232,Dem,State House of Representatives - District 79,100.0,"<b>Yasmin Neal (I) (Dem)</b><br>16,118 votes",12,12
